inputs,response
로그인 창을 열려면 무엇을 클릭해야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 메뉴로 어떻게 이동하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 화면을 어디서 찾을 수 있나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인을 위한 메뉴는 어디에 있나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
계정 접속을 시작하려면 어떻게 해야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 페이지는 어디로 이동해야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 버튼은 어디서 나타나나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 메뉴는 어떤 화면에 있나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 창은 어떻게 열 수 있나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 절차를 시작하려면 어떤 메뉴를 선택해야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 작업을 하기 위해 어느 페이지로 가야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인은 어떤 경로로 들어가야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 메뉴 위치를 알고 싶습니다.,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 화면으로 가려면 어떤 메뉴를 눌러야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
계정을 입력하려면 어디로 들어가야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 버튼은 어디서 확인할 수 있나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 절차는 어디에서 진행되나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 페이지는 어디로 접근하면 되나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 창으로 이동하려면 어떻게 해야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 메뉴는 어디로 들어가야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 버튼이 위치한 화면은 어디인가요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 기능은 어떤 페이지에서 제공되나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 작업은 어디서 시작할 수 있나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 메뉴를 클릭하려면 어디로 가야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 창으로 접근하려면 무엇을 선택해야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 버튼은 어느 위치에 있나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 절차는 어느 메뉴에서 진행되나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 화면으로 이동하려면 무엇을 눌러야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 버튼은 어디에서 확인할 수 있나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
계정 접속을 위한 화면은 어디에 있나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 메뉴는 어떤 페이지에서 보이나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 버튼이 위치한 메뉴는 어디인가요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 작업을 위해 무엇을 선택해야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 페이지로 가려면 어디로 가야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 창은 어떻게 열리나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 메뉴는 어디에서 클릭할 수 있나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 버튼이 나타나는 위치는 어디인가요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 페이지 링크는 어디에 있나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 메뉴로 접근하려면 어디로 이동해야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 창은 어느 화면에 있나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 메뉴는 어디에서 찾을 수 있나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 절차는 어떤 메뉴 아래에서 시작하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 페이지는 어디에 위치해 있나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 창으로 들어가려면 어떻게 해야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 버튼은 어디에서 누를 수 있나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 메뉴는 어떤 경로에 있나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 절차는 어떤 메뉴에서 시작되나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 페이지로 들어가려면 어떤 메뉴를 클릭해야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 메뉴를 선택하려면 어디로 가야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
로그인 화면으로 가려면 어떤 경로를 따라가야 하나요?,로그인은 우측 상단의 로그인 버튼을 이용부탁드립니다.
어디서 진료예약을 진행할 수 있나요?,"상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
진료를 예약하려면 어떤 방법을 사용해야 하나요?,"상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 예약은 어디에서 해야 하나요?,"상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
진료받으려면 어떻게 예약을 잡나요?,"상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
진료일정을 정하려면 어디로 가야 하나요?,"상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 예약은 어떤 과정으로 진행되나요?,"상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
병원 방문 전에 예약을 어디서 하나요?,"병원 예약은 웹사이트에서 예약 가능하며, 예약 신청 승인 시 자동 접수됩니다. 병원 방문 시 데스크에 예약 사실을 알리는것을 권고합니다.

상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
진료를 위해 사전 예약은 어떻게 하나요?,"상단의 검색창 또는 [병원검색], [예약하기] 탭을 이용하여 예약합니다.

- 검색창 이용시 
예약하고자 하는 병원명, 진료과목 등을 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [병원검색] 이용 시 
병원검색 > 예약하고자 하는 병원 검색 > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 

- [예약하기] 이용 시 
병원찾기(주변 병원 검색) > 병원 선택 후 의사 선택 > 해당 의사의 예약 가능 날짜 및 시간 선택 > 예약하기 "
